source_entity,relationship_type,target_entity,source_document
Fisheries Restoration,BELONGS_TO_DOMAIN,Blue Economy,Ghana Blue Economy 25 June 2025.pdf
Design,BELONGS_TO_DOMAIN,Orange Economy,Kenya Orange Economy 25 June 2025.pdf
Engineering,LOCATED_IN,Nairobi,Kenya Platinum Economy 26 June 2025.pdf
Startup Community Coordinator / Manager,REQUIRES_SKILL,Proactivity,Senegal Platinum Economy 26 June 2025.pdf
Marine Biologist,HAS_CHARACTERISTIC,Skilled,Ghana Blue Economy 25 June 2025.pdf
Digital Marketing & E-commerce,HAS_CHARACTERISTIC,Mixed,South Africa Yellow Economy 25 June 2025.pdf
Software Development for Industrial Applications,HAS_CHARACTERISTIC,Knowledge,South Africa Yellow Economy 25 June 2025.pdf
Machine Learning Operations (MLOps) Specialist,REQUIRES_SKILL,DevOps,Kenya Platinum Economy 26 June 2025.pdf
Data Annotator,LEADS_TO,Upskilling Pathways,Kenya Platinum Economy 26 June 2025.pdf
Irrigation,BELONGS_TO_DOMAIN,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Application Programmer,BELONGS_TO_DOMAIN,Platinum Economy,Senegal Platinum Economy 26 June 2025.pdf
Academic Criteria – College of Engineering,INFLUENCED_BY,Ethiopian Defence University,Ethiopian University Admission Prerequisites_.pdf
Mobile Application Developer,REQUIRES_SKILL,Swift/Objective-C,Senegal Platinum Economy 26 June 2025.pdf
Financial Inclusion Programs,IMPLEMENTS,Better Equipment,Kenya Braonze Economy 25 June 2025.pdf
Community Conservation Enterprise Officer,REQUIRES_SKILL,Conflict Resolution,Kenya Blue Economy 25 June 2025.pdf
Bead Makers,BELONGS_TO_DOMAIN,Bronze Economy,Ghana Orange Economy 25 June 2025.pdf
Shega Media and Technology PLC,LOCATED_IN,Ethiopia,Ethiopia Platinum Economy 26 June 2025.pdf
Finance Roles,HAS_CHARACTERISTIC,Skilled,Kenya Green Economy 25 June 2025.pdf
ESG Reporting Standards,Analyst,REQUIRES_SKILL,Ghana Green Economy 25 June 2025.pdf
Agricultural Equipment Technician,HAS_CHARACTERISTIC,Permanent,Ghana Bronze Economy 26 June 2025.pdf
Site Agent,BELONGS_TO_DOMAIN,Iron Economy,Kenya Green Economy 25 June 2025.pdf
Educational Institutions,TEACHES_SKILL,Systems Knowledge,South Africa Gold Economy 26 June 2025.pdf
GIS Specialist,HAS_CHARACTERISTIC,Elastic,Senegal Yellow Economy 25 June 2025.pdf
Indeed Kenya,LOCATED_IN,Kenya,Lists of Job Platforms in our Countries.pdf
Jiji,PART_OF_INDUSTRY,Digital Classifieds,Kenya Lavender Economy 25 June 2025.pdf
Digital Health Platform Coordinator,REQUIRES_SKILL,Network management,Senegal Lavender Economy 25 June 2025.pdf
Daily Nation,LOCATED_IN,Kenya,Lists of Job Platforms in our Countries.pdf
Government Programs,INFLUENCED_BY,Skills Development,Ghana Bronze Economy 26 June 2025.pdf
Virtual Assistant,LOCATED_IN,Senegal,Senegal Orange Economy 25 June 2025.pdf
Creative Arts,LEADS_TO,Job Creation,Ghana Orange Economy 25 June 2025.pdf
Internship Programs,INFLUENCED_BY,Educational Institutions,Kenya Orange Economy 25 June 2025.pdf
"Senior Specialist: Change, Technology & Cyber Risk",BELONGS_TO_DOMAIN,Gold Economy,Kenya Gold Economy 26 June 2025.pdf
Nairobi,PART_OF_INDUSTRY,Advertising,Kenya Orange Economy 25 June 2025.pdf
Health Systems Consultant,HAS_CHARACTERISTIC,Skilled,Senegal Lavender Economy 25 June 2025.pdf
Veterinarian,HAS_CHARACTERISTIC,Skilled,Kenya Braonze Economy 25 June 2025.pdf
Professional Engineer (Civil),REQUIRES_SKILL,Civil 3D,South Africa Iron Economy 26 June 2025.pdf
Critical Thinking,PART_OF_INDUSTRY,21st-Century Skills,Ghana Yellow Economy 25 June 2025.pdf
Engineering Designs,REQUIRES_SKILL,Technical Report Writing,South Africa Green Economy 25 June 2025.pdf
Tree Planting,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Université Cheikh Anta Diop (UCAD -FSJP),TEACHES_SKILL,Local Finance,Senegal Yellow Economy 25 June 2025.pdf
Logistics Manager,HAS_CHARACTERISTIC,Skilled,Ghana Iron Economy 26 June 2025.pdf
Ecologist,REQUIRES_SKILL,Ecosystem Health Monitoring,Ghana Green Economy 25 June 2025.pdf
Transportation,BELONGS_TO_DOMAIN,Iron Economy,Planning The Refracted Economies Framework.pdf
Technology Literacy,HAS_PREREQUISITE,Cloud Computing,Kenya Platinum Economy 26 June 2025.pdf
Artistic Director,REQUIRES_SKILL,Cultural Knowledge,Kenya Orange Economy 25 June 2025.pdf
Sandton,LOCATED_IN,Johannesburg (Gauteng),South Africa Gold Economy 26 June 2025.pdf
Quality Assurance (QA) & Testing Engineer,REQUIRES_SKILL,Manual Testing,Senegal Platinum Economy 26 June 2025.pdf
Ward and Village Administrators,HAS_CHARACTERISTIC,Formal,Kenya Yellow Economy 25 June 2025.pdf
Blockchain and Cryptocurrency Specialist,REQUIRES_SKILL,Distributed Ledger Technology,Ghana Platinum Economy 26 June 2025.pdf
Blue Economy Commission,IMPLEMENTS,National Blue Economy Workforce Strategy,Ghana Blue Economy 25 June 2025.pdf
Robust Apprenticeship Programs,BELONGS_TO_DOMAIN,Blue Economy,Ghana Blue Economy 25 June 2025.pdf
Internet of Things (IoT),HAS_CHARACTERISTIC,Skilled,Kenya Platinum Economy 26 June 2025.pdf
Quality Control Supervisor,LOCATED_IN,Kiambu,Kenya Platinum Economy 26 June 2025.pdf
Wellness Market,REQUIRES_SKILL,Holistic therapies,Ghana Lavender Economy 25 June 2025.pdf
Cybersecurity,REQUIRES_SKILL,Technical Skills,South Africa Platinum Economy 26 June 2025.pdf
SQL,HAS_PREREQUISITE,Data Analysis,South Africa Gold Economy 26 June 2025.pdf
Public Service Commission,LOCATED_IN,Kenya,Kenya Iron Economy 26 June 2025.pdf
Concepteur et Développeur E-learning,LOCATED_IN,Senegal,Senegal Platinum Economy 26 June 2025.pdf
Green Banking Sénégal,IMPLEMENTS,OQSF,Senegal Green Economy 25 June 2025.pdf
Blue Economy,LOCATED_IN,Eastern Cape,South Africa Blue Economy 25 June 2025.pdf
Green Enterprises,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Avril Joffe,LOCATED_IN,Johannesburg,South Africa Orange Economy 25 June 2025.pdf
Carbon Accounting,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
AI/ML Engineer,LOCATED_IN,fintech hubs,South Africa Gold Economy 26 June 2025.pdf
Energy,PART_OF_INDUSTRY,Engineering,Senegal Green Economy 25 June 2025.pdf
Western Kenya,LOCATED_IN,Sustainable Agriculture Projects,Kenya Green Economy 25 June 2025.pdf
Influence,REQUIRES_SKILL,Developer Relations / Evangelist,Ethiopia Platinum Economy 26 June 2025.pdf
Archivist,REQUIRES_SKILL,Cataloging,Ghana Orange Economy 25 June 2025.pdf
Welder/Fabricator,BELONGS_TO_DOMAIN,Iron Economy,Ghana Iron Economy 26 June 2025.pdf
Public Relations & Press Officer,LOCATED_IN,Dakar,Senegal Orange Economy 25 June 2025.pdf
Risk management,BELONGS_TO_DOMAIN,Gold Economy,Kenya Gold Economy 26 June 2025.pdf
Master's in Financial Technology,PART_OF_INDUSTRY,Fintech,Senegal Gold Economy 26 June 2025.pdf
Advertising Agencies,BELONGS_TO_DOMAIN,Orange Economy,Ghana Orange Economy 25 June 2025.pdf
Robotics Programmer/Engineer,REQUIRES_SKILL,systems integration,South Africa Yellow Economy 25 June 2025.pdf
Small-Scale Farmer,BELONGS_TO_DOMAIN,Agriculture,Kenya Braonze Economy 25 June 2025.pdf
E-commerce Manager,HAS_CHARACTERISTIC,Knowledge,Kenya Orange Economy 25 June 2025.pdf
Big Data Platform Analytics Engineer,HAS_CHARACTERISTIC,Knowledge,Kenya Platinum Economy 26 June 2025.pdf
Financial Services Industry,INFLUENCED_BY,M-Pesa Africa,Kenya Gold Economy 26 June 2025.pdf
Fintech Specialist/Developer,REQUIRES_SKILL,Security Focus,Senegal Platinum Economy 26 June 2025.pdf
Interactive Leisure Software Developer,LOCATED_IN,Ethiopia,Ethiopia Orange Economy 25 June 2025.pdf
Artisans,HAS_CHARACTERISTIC,Informal,Ghana Iron Economy 26 June 2025.pdf
Allied Health Professions,BELONGS_TO_DOMAIN,Lavender Economy,South Africa Lavender Economy 25 June 2025.pdf
Tour Operator (Eco-tours),LOCATED_IN,Drakensberg Mountains,South Africa Green Economy 25 June 2025.pdf
Automotive Jobs,HAS_CHARACTERISTIC,Formal,Senegal Iron Economy 26 June 2025.pdf
Elite Professionals,HAS_CHARACTERISTIC,Skilled,Senegal Gold Economy 26 June 2025.pdf
Creatives,LOCATED_IN,Kenya,Kenya Orange Economy 25 June 2025.pdf
Monitoring and Evaluation (M&E),HAS_CHARACTERISTIC,Elastic,Kenya Yellow Economy 25 June 2025.pdf
Adobe Creative Suite,REQUIRES_SKILL,Graphic Designer,Ghana Orange Economy 25 June 2025.pdf
Accpac,REQUIRES_SKILL,Financial Accountant,South Africa Gold Economy 26 June 2025.pdf
Universities,TEACHES_SKILL,Agriculture,Kenya Braonze Economy 25 June 2025.pdf
"Manager, Business Transformation",REQUIRES_SKILL,Change Management,Kenya Platinum Economy 26 June 2025.pdf
Road Freight Industry,INFLUENCED_BY,National Infrastructure Plan 2050,South Africa Iron Economy 26 June 2025.pdf
Sustainable Construction,BELONGS_TO_DOMAIN,Iron Economy,Senegal Green Economy 25 June 2025.pdf
Department of Home Affairs,INFLUENCED_BY,Department of Communications and Digital Technologies (DCDT),South Africa Platinum Economy 26 June 2025.pdf
Project Manager (Blue Carbon),REQUIRES_SKILL,Finance,Kenya Blue Economy 25 June 2025.pdf
Factory Hand,PART_OF_INDUSTRY,Industrial Fishing and Processing,Ghana Blue Economy 25 June 2025.pdf
Health Management,HAS_PREREQUISITE,Clinical Training,Ghana Lavender Economy 25 June 2025.pdf
Artisanal Miner,REQUIRES_SKILL,Transporting ore,Ghana Bronze Economy 26 June 2025.pdf
Agence Nationale pour les Energies Renouvelables (ANER),PART_OF_INDUSTRY,Renewable Energy,Senegal Green Economy 25 June 2025.pdf
Formal,HAS_CHARACTERISTIC,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Big Data Platform Operations Engineer,PART_OF_INDUSTRY,Safaricom,Ethiopia Platinum Economy 26 June 2025.pdf
Creative Arts Teacher,LOCATED_IN,Ghana,Ghana Orange Economy 25 June 2025.pdf
Limpopo,PART_OF_INDUSTRY,Infrastructure Development,South Africa Iron Economy 26 June 2025.pdf
Equipment Operators,PART_OF_INDUSTRY,Tema Motorway Expansion,Ghana Iron Economy 26 June 2025.pdf
Elasticsearch,PART_OF_INDUSTRY,ELK Stack,Kenya Platinum Economy 26 June 2025.pdf
Energy Transition and Investment Plan,IMPLEMENTS,Climate-Resilient Economy,Ghana Green Economy 25 June 2025.pdf
Robotic Engineer,BELONGS_TO_DOMAIN,Platinum Economy,Ethiopia Platinum Economy 26 June 2025.pdf
Project management,PART_OF_INDUSTRY,Education,Ghana Yellow Economy 25 June 2025.pdf
Nurse,PART_OF_INDUSTRY,The Nairobi Women's Hospital,Kenya Lavender Economy 25 June 2025.pdf
Community Engagement Professional,REQUIRES_SKILL,Forestry,Ghana Bronze Economy 26 June 2025.pdf
Freelance App Developer,HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
ENSEIGNEMENT,REQUIRES_SKILL,Education,Senegal Lavender Economy 25 June 2025.pdf
Penetration tester,REQUIRES_SKILL,Cybersecurity,South Africa Platinum Economy 26 June 2025.pdf
Informal Manufacturing Sector,LOCATED_IN,Kenya,Kenya Braonze Economy 25 June 2025.pdf
Qalam Education,PART_OF_INDUSTRY,EdTech,Ethiopia Platinum Economy 26 June 2025.pdf
Monitoring and Evaluation (M&E) Coordinator/Officer,REQUIRES_SKILL,data visualization,Senegal Yellow Economy 25 June 2025.pdf
"Assistant Manager, Medical Contact Center",HAS_CHARACTERISTIC,Skilled,Kenya Gold Economy 26 June 2025.pdf
Senior Mechanical Technician,HAS_CHARACTERISTIC,Permanent,Kenya Iron Economy 26 June 2025.pdf
General Manager,HAS_CHARACTERISTIC,Elastic,Ghana Green Economy 25 June 2025.pdf
National Cadet Programme,IMPLEMENTS,Maritime Transport Sector,South Africa Blue Economy 25 June 2025.pdf
Clinical Officer,LOCATED_IN,Kenya,Kenya Lavender Economy 25 June 2025.pdf
Turners,REQUIRES_SKILL,Mechanical Engineer,South Africa Iron Economy 26 June 2025.pdf
Renewable Energy Sector,HAS_CHARACTERISTIC,Skilled,South Africa Green Economy 25 June 2025.pdf
SLM Professional,HAS_CHARACTERISTIC,Knowledge,Senegal Green Economy 25 June 2025.pdf
Unionization,IMPLEMENTS,Union of Informal Sector Workers (UNIWA),Ghana Iron Economy 26 June 2025.pdf
PLC Fault Finding,REQUIRES_SKILL,Robot Specialist,South Africa Yellow Economy 25 June 2025.pdf
Mine Planning Engineer,HAS_PREREQUISITE,HND,Ghana Bronze Economy 26 June 2025.pdf
Project Manager,HAS_CHARACTERISTIC,Elastic,Senegal Green Economy 25 June 2025.pdf
Faculty of Renewable Natural Resources,PART_OF_INDUSTRY,KNUST,Ghana Green Economy 25 June 2025.pdf
Water Environment Jobs,LOCATED_IN,Ghana,Ghana Green Economy 25 June 2025.pdf
Farm Technician,HAS_CHARACTERISTIC,Skilled,Ghana Bronze Economy 26 June 2025.pdf
Penetration Tester,BELONGS_TO_DOMAIN,Platinum Economy,Kenya Platinum Economy 26 June 2025.pdf
Vocational Roles,LOCATED_IN,ISEP-Thiès,Senegal Green Economy 25 June 2025.pdf
Universal Bankers,REQUIRES_SKILL,Advisory,Senegal Gold Economy 26 June 2025.pdf
Minister of Industry and Mines,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Iron Economy 26 June 2025.pdf
React.js,HAS_PREREQUISITE,JavaScript,Kenya Platinum Economy 26 June 2025.pdf
Formal,PART_OF_INDUSTRY,EdTech,Ethiopia Platinum Economy 26 June 2025.pdf
Software Development,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Platinum Economy 26 June 2025.pdf
East African Career Platform,LOCATED_IN,Kenya,Lists of Job Platforms in our Countries.pdf
Crops Research Institute,LOCATED_IN,Ghana,Ghana Bronze Economy 26 June 2025.pdf
Eco-Lodge Manager/Operator,PART_OF_INDUSTRY,Energy Efficiency,South Africa Green Economy 25 June 2025.pdf
Economics,HAS_CHARACTERISTIC,Skilled,Senegal Undergraduate Admission Prerequisites_.pdf
Project Coordinator,PROGRESSES_TO,Climate-Smart Agriculture Specialist,Ghana Green Economy 25 June 2025.pdf
Artisan (Fitter and Turner),REQUIRES_SKILL,Pneumatics,South Africa Iron Economy 26 June 2025.pdf
Azure Administrator,REQUIRES_SKILL,Azure,South Africa Platinum Economy 26 June 2025.pdf
McKinsey & Company,REQUIRES_SKILL,Data Science,Ethiopia Platinum Economy 26 June 2025.pdf
Forklift Driver,BELONGS_TO_DOMAIN,Iron Economy,Kenya Iron Economy 26 June 2025.pdf
Informal Economy,LOCATED_IN,South Africa,South Africa Blue Economy 25 June 2025.pdf
Software Engineer,HAS_CHARACTERISTIC,Skilled,Kenya Platinum Economy 26 June 2025.pdf
Animator,REQUIRES_SKILL,Collaboration,Kenya Orange Economy 25 June 2025.pdf
Telecommunications Network Planner,HAS_CHARACTERISTIC,Skilled,Senegal Platinum Economy 26 June 2025.pdf
Tutoring,BELONGS_TO_DOMAIN,Lavender Economy,Lists of Job Platforms in our Countries.pdf
"Establish a High-Level ""Iron Economy Steering Committee""",INFLUENCED_BY,Donor Partners,Senegal Iron Economy 26 June 2025.pdf
Climate Risk Analyst,PART_OF_INDUSTRY,Climate Data Science & Modeling,Kenya Green Economy 25 June 2025.pdf
Quantity Surveyor,HAS_CHARACTERISTIC,Skilled,Ghana Iron Economy 26 June 2025.pdf
SCADA,REQUIRES_SKILL,Instrumentation and Control Engineer/Technician,South Africa Iron Economy 26 June 2025.pdf
Logistics Coordinator,HAS_CHARACTERISTIC,Skilled,South Africa Iron Economy 26 June 2025.pdf
Abidjan,LOCATED_IN,Côte d'Ivoire,Senegal Gold Economy 26 June 2025.pdf
Government,GOVERNED_BY,Orange Economy,Ethiopia Orange Economy 25 June 2025.pdf
Soft Skills,INFLUENCED_BY,MEST,Ghana Platinum Economy 26 June 2025.pdf
MyJobMag Kenya,LOCATED_IN,Kenya,Lists of Job Platforms in our Countries.pdf
Bachelor's in Data Science for Finance,HAS_PREREQUISITE,Finance,Senegal Gold Economy 26 June 2025.pdf
Machine Operator,HAS_CHARACTERISTIC,Unskilled,Kenya Green Economy 25 June 2025.pdf
Artisanal Miner,REQUIRES_SKILL,Manual excavation,Ghana Bronze Economy 26 June 2025.pdf
Artisans,BELONGS_TO_DOMAIN,Iron Economy,South Africa Iron Economy 26 June 2025.pdf
Health Information Systems (HIS) Developer,BELONGS_TO_DOMAIN,Lavender Economy,Ethiopia Platinum Economy 26 June 2025.pdf
AI Artist / Prompt Engineer,HAS_CHARACTERISTIC,Entrepreneurial,Senegal Orange Economy 25 June 2025.pdf
Data Visualization,REQUIRES_SKILL,Upwork,South Africa Platinum Economy 26 June 2025.pdf
EON AI Autonomous Agents,BELONGS_TO_DOMAIN,Platinum Economy,Kenya Orange Economy 25 June 2025.pdf
Kenya,LOCATED_IN,Lavender Economy,Kenya Lavender Economy 25 June 2025.pdf
Monteur Vidéo / Étaleur,REQUIRES_SKILL,DaVinci Resolve,Senegal Orange Economy 25 June 2025.pdf
Unity University,LOCATED_IN,Ethiopia,Ethiopian University Admission Prerequisites_.pdf
Social Media Coordinator,PART_OF_INDUSTRY,Digital Economy,Ghana Orange Economy 25 June 2025.pdf
Sustainability Performance Professional,HAS_CHARACTERISTIC,Entrepreneurial,Kenya Green Economy 25 June 2025.pdf
Financial Analyst,Green Finance Sector,PART_OF_INDUSTRY,Ghana Green Economy 25 June 2025.pdf
G (Gestion),LEADS_TO,Economics,Senegal Undergraduate Admission Prerequisites_.pdf
Universities,LEADS_TO,Job-Ready Graduates,South Africa Orange Economy 25 June 2025.pdf
ECD,HAS_CHARACTERISTIC,Low Paid,South Africa Lavender Economy 25 June 2025.pdf
Ministry of Works and Housing (MWH),GOVERNED_BY,Construction Sector,Ghana Iron Economy 26 June 2025.pdf
Data Transformation Intelligence and Impact Manager,LOCATED_IN,Kenya,Kenya Lavender Economy 25 June 2025.pdf
Senior DevOps Engineer,LOCATED_IN,Centurion,South Africa Yellow Economy 25 June 2025.pdf
National Film and Television Institute (NAFTI),HAS_PREREQUISITE,Podcast Editors,Ghana Orange Economy 25 June 2025.pdf
Renewable Energy Systems,REQUIRES_SKILL,Grid Interconnections Design Skill,South Africa Green Economy 25 June 2025.pdf
Dakar Institute of Technology,LOCATED_IN,Dakar,Senegal Platinum Economy 26 June 2025.pdf
Product Manager,PART_OF_INDUSTRY,Product Management,Kenya Platinum Economy 26 June 2025.pdf
Formalization,INFLUENCED_BY,Caregiver,Ghana Lavender Economy 25 June 2025.pdf
Warehouse & Inventory Coordinator,PART_OF_INDUSTRY,Logistics,Kenya Iron Economy 26 June 2025.pdf
Project Coordinator,HAS_CHARACTERISTIC,Skilled,Ghana Yellow Economy 25 June 2025.pdf
"IT Governance, Risk, and Compliance (GRC) Specialist",HAS_CHARACTERISTIC,Formal,South Africa Yellow Economy 25 June 2025.pdf
Animator,PART_OF_INDUSTRY,Television,South Africa Orange Economy 25 June 2025.pdf
Université Cheikh Anta Diop,LOCATED_IN,Dakar,Senegal Green Economy 25 June 2025.pdf
Geriatric Care Assistants,INFLUENCED_BY,Ministry of Health,Senegal Lavender Economy 25 June 2025.pdf
Clinical Officer,HAS_CHARACTERISTIC,Formal,Kenya Lavender Economy 25 June 2025.pdf
Freelance Gigs,HAS_CHARACTERISTIC,Informal,Lists of Job Platforms in our Countries.pdf
transcripts,REQUIRES_SKILL,Addis College,Ethiopian University Admission Prerequisites_.pdf
Subject Officer,REQUIRES_SKILL,Master's degree in education,Ghana Yellow Economy 25 June 2025.pdf
Fashion design,LOCATED_IN,Bahir Dar,Ethiopia Orange Economy 25 June 2025.pdf
Accra Influencer Marketing Platform,LOCATED_IN,Accra,Ghana Orange Economy 25 June 2025.pdf
Office Officer Fisheries & Aquaculture,HAS_CHARACTERISTIC,Knowledge,Ghana Bronze Economy 26 June 2025.pdf
Construction Jobs,LOCATED_IN,Renewable Energy Generation Belt,South Africa Green Economy 25 June 2025.pdf
Museum/Gallery Curator,BELONGS_TO_DOMAIN,Orange Economy,Ghana Orange Economy 25 June 2025.pdf
Clinical Officer,REQUIRES_SKILL,Computer Applications Proficiency,Kenya Lavender Economy 25 June 2025.pdf
Building Energy Manager,LOCATED_IN,Greater Accra,Ghana Green Economy 25 June 2025.pdf
Kenya,LOCATED_IN,Minerals,Kenya Braonze Economy 25 June 2025.pdf
Event Companies,LOCATED_IN,Ghana,Ghana Orange Economy 25 June 2025.pdf
GIS and Remote Sensing Expert,BELONGS_TO_DOMAIN,Platinum Economy,Ghana Platinum Economy 26 June 2025.pdf
"Traducteur (Français, Anglais, Wolof)",REQUIRES_SKILL,Literary,Senegal Orange Economy 25 June 2025.pdf
High Finance,LOCATED_IN,Johannesburg (Gauteng),South Africa Gold Economy 26 June 2025.pdf
Forestry Expert,BELONGS_TO_DOMAIN,Bronze Economy,Senegal Green Economy 25 June 2025.pdf
Mental Health and Psychosocial Support,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Lavender Economy 25 June 2025.pdf
Tourisme & Hôtellerie,BELONGS_TO_DOMAIN,Orange Economy,Lists of Job Platforms in our Countries.pdf
Coastal and Marine Tourism,HAS_CHARACTERISTIC,Informal,South Africa Blue Economy 25 June 2025.pdf
ANSFES,IMPLEMENTS,Loi créant l'ordre des sage-femmes et maïeuticiens,Senegal Lavender Economy 25 June 2025.pdf
Data Engineer,SNMP,REQUIRES_SKILL,South Africa Yellow Economy 25 June 2025.pdf
Kenya Forestry Research Institute (KEFRI),LOCATED_IN,Kenya,Kenya Braonze Economy 25 June 2025.pdf
Department of Agricultural Engineering,PART_OF_INDUSTRY,University of Ghana,Ghana Green Economy 25 June 2025.pdf
Wind Energy,BELONGS_TO_DOMAIN,Green Economy,South Africa Green Economy 25 June 2025.pdf
Informal Employment,LOCATED_IN,Senegal,Senegal Iron Economy 26 June 2025.pdf
Event Companies,HAS_CHARACTERISTIC,Knowledge,Ghana Orange Economy 25 June 2025.pdf
Arts Educator,REQUIRES_SKILL,Artistic Skill,Ghana Orange Economy 25 June 2025.pdf
Accountant,PART_OF_INDUSTRY,Financial Institution,Senegal Gold Economy 26 June 2025.pdf
Surveillant des infrastructures de marchés financiers,PROGRESSES_TO,Supervision,Senegal Gold Economy 26 June 2025.pdf
National Mental Health Policy 2019-2030,LOCATED_IN,Ghana,Ghana Lavender Economy 25 June 2025.pdf
talent pool,PART_OF_INDUSTRY,Corporate & Investment Banking,South Africa Gold Economy 26 June 2025.pdf
Carbon Project Developer,HAS_CHARACTERISTIC,Skilled,Ghana Green Economy 25 June 2025.pdf
Soil and Water Conservation Specialist,REQUIRES_SKILL,Water-efficient irrigation,Senegal Green Economy 25 June 2025.pdf
Management,HAS_CHARACTERISTIC,Skilled,South Africa Iron Economy 26 June 2025.pdf
Sorting Technician,BELONGS_TO_DOMAIN,Green Economy,South Africa Green Economy 25 June 2025.pdf
Consultant en agent de santé communautaire,LOCATED_IN,Dakar,Senegal Lavender Economy 25 June 2025.pdf
senior roles,LOCATED_IN,International Finance Corporation (IFC),Senegal Gold Economy 26 June 2025.pdf
Public Policy and Research,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Yellow Economy 25 June 2025.pdf
Journalism,LEADS_TO,Publisher,Ghana Orange Economy 25 June 2025.pdf
Blue Economy Sectors,PART_OF_INDUSTRY,Marine Technology,Ghana Blue Economy 25 June 2025.pdf
Tour Operator (Eco-tours),LOCATED_IN,Western Cape,South Africa Green Economy 25 June 2025.pdf
Solar Installation,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Security,HAS_CHARACTERISTIC,Unskilled,Senegal Iron Economy 26 June 2025.pdf
Risk Management,HAS_CHARACTERISTIC,Knowledge,Senegal Gold Economy 26 June 2025.pdf
Insure Connect Services,LOCATED_IN,Caribbean,South Africa Gold Economy 26 June 2025.pdf
Caregiver,BELONGS_TO_DOMAIN,Lavender Economy,South Africa Lavender Economy 25 June 2025.pdf
Renewable Energy Systems,GOVERNED_BY,Renewable Energy Master Plan (REMP),Ghana Green Economy 25 June 2025.pdf
Desktop Publisher (DTP),REQUIRES_SKILL,Adobe InDesign,South Africa Orange Economy 25 June 2025.pdf
Event Coordinator,REQUIRES_SKILL,Creativity,Senegal Orange Economy 25 June 2025.pdf
Dereja,TEACHES_SKILL,Job Readiness,Ethiopia Yellow Economy 25 June 2025.pdf
Publishing houses,HAS_CHARACTERISTIC,Entrepreneurial,Kenya Orange Economy 25 June 2025.pdf
Green_Employment,BELONGS_TO_DOMAIN,Green_Economy,Ghana Green Economy 25 June 2025.pdf
Hôtesse de Vente (Fashion Boutique),REQUIRES_SKILL,Customer service,Senegal Orange Economy 25 June 2025.pdf
Business Growth and Development Manager,HAS_CHARACTERISTIC,Permanent,Kenya Gold Economy 26 June 2025.pdf
"Environmental, Social, and Governance (ESG) Analyst",HAS_CHARACTERISTIC,Entrepreneurial,Senegal Green Economy 25 June 2025.pdf
Penetration Tester,REQUIRES_SKILL,Web Application Security,South Africa Platinum Economy 26 June 2025.pdf
DNA,TEACHES_SKILL,Renewable Energy,Senegal Green Economy 25 June 2025.pdf
Compliance Administrator,HAS_CHARACTERISTIC,Skilled,South Africa Gold Economy 26 June 2025.pdf
Community Energy Program Facilitator,REQUIRES_SKILL,Communication,Senegal Green Economy 25 June 2025.pdf
Senior Business Analyst - Insurance,REQUIRES_SKILL,Underwriting,Senegal Gold Economy 26 June 2025.pdf
Scénariste,BELONGS_TO_DOMAIN,Orange Economy,Senegal Orange Economy 25 June 2025.pdf
Consultancy,HAS_CHARACTERISTIC,Skilled,Kenya Yellow Economy 25 June 2025.pdf
Saint-Louis,LEADS_TO,Agriculture,Senegal Green Economy 25 June 2025.pdf
Sugarcane Sector,LOCATED_IN,Western Kenya,Kenya Braonze Economy 25 June 2025.pdf
UCAD,LOCATED_IN,Senegal,Senegal Lavender Economy 25 June 2025.pdf
Tour Guide,REQUIRES_SKILL,Management Capabilities,Ghana Green Economy 25 June 2025.pdf
Nurse Midwife,PART_OF_INDUSTRY,AAR Healthcare,Kenya Lavender Economy 25 June 2025.pdf
Robotics Research Projects,HAS_CHARACTERISTIC,Skilled,Ethiopia Platinum Economy 26 June 2025.pdf
Head of Startup Desk,PART_OF_INDUSTRY,MInT,Ethiopia Platinum Economy 26 June 2025.pdf
National Green Jobs Strategy,INFLUENCED_BY,Waste Management and Recycling,Ghana Green Economy 25 June 2025.pdf
Rail,BELONGS_TO_DOMAIN,Iron Economy,Senegal Iron Economy 26 June 2025.pdf
UHC/SHIF,GOVERNED_BY,Ministries of Health,Kenya Lavender Economy 25 June 2025.pdf
National Film and Television Institute (NAFTI),PART_OF_INDUSTRY,"University of Media, Arts, and Communication (UniMAC -IFT)",Ghana Orange Economy 25 June 2025.pdf
Ethiopian Artificial Intelligence Institute (EAII),INFLUENCED_BY,Agriculture,Ethiopia Platinum Economy 26 June 2025.pdf
Festival_Mondial_des_Arts_Nègres,PART_OF_INDUSTRY,University_of_California_San_Diego,Senegal Orange Economy 25 June 2025.pdf
